Player,Squad,Liga,Season,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA
nick pope,newcastle utd,Premier-League,2025-2026,2.9,0.27,-0.1,0.214,36,0.222,9
david raya,arsenal,Premier-League,2025-2026,1.2,0.1,0.2,0.34,29,0.172,4
robin roefs,sunderland,Premier-League,2025-2026,4.8,0.28,1.8,0.358,56,0.107,7
jose sa,wolves,Premier-League,2025-2026,5.8,0.48,-2.2,0.42,39,0.10300000000000001,2
robert sanchez,chelsea,Premier-League,2025-2026,3.0,0.23,0.0,0.33,49,0.08199999999999999,3
matz sels,nottham forest,Premier-League,2025-2026,7.7,0.32,-0.3,0.4,49,0.061,3
james trafford,manchester city,Premier-League,2025-2026,5.9,0.34,1.9,0.272,26,0.077,14
bart verbruggen,brighton,Premier-League,2025-2026,4.5,0.29,-1.5,0.27699999999999997,36,0.055999999999999994,3
guglielmo vicario,tottenham,Premier-League,2025-2026,3.6,0.2,2.6,0.17800000000000002,45,0.022000000000000002,4
emil audero,cremonese,Serie-A,2025-2026,3.4,0.24,0.4,0.4,28,0.107,0
jean butez,como,Serie-A,2025-2026,1.1,0.35,0.1,0.205,21,0.095,5
elia caprile,cagliari,Serie-A,2025-2026,2.7,0.22,0.7,0.442,63,0.159,1
marco carnesecchi,atalanta,Serie-A,2025-2026,2.5,0.33,0.5,0.27899999999999997,39,0.026000000000000002,5
michele di gregorio,juventus,Serie-A,2025-2026,1.3,0.22,-1.7,0.278,57,0.08800000000000001,1
wladimiro falcone,lecce,Serie-A,2025-2026,5.5,0.34,-0.5,0.653,40,0.025,6
david de gea,fiorentina,Serie-A,2025-2026,5.5,0.3,1.5,0.258,34,0.028999999999999998,3
franco israel,torino,Serie-A,2025-2026,3.8,0.23,-1.2,0.505,42,0.024,5
nicola leali,genoa,Serie-A,2025-2026,1.3,0.45,0.3,0.431,30,0.033,3
mike maignan,milan,Serie-A,2025-2026,1.8,0.36,-0.2,0.179,30,0.16699999999999998,0
alex meret,napoli,Serie-A,2025-2026,0.1,0.02,0.1,0.106,7,0.14300000000000002,3
vanja milinkovicsavic,napoli,Serie-A,2025-2026,0.4,0.14,-0.6,0.44799999999999995,22,0.136,0
lorenzo montipo,hellas verona,Serie-A,2025-2026,4.4,0.44,-0.6,0.491,33,0.061,3
arijanet muric,sassuolo,Serie-A,2025-2026,4.2,0.39,1.2,0.32799999999999996,30,0.0,1
ivan provedel,lazio,Serie-A,2025-2026,4.1,0.31,1.1,0.17300000000000001,24,0.083,2
razvan sava,udinese,Serie-A,2025-2026,2.5,0.31,0.5,0.345,50,0.0,2
adrian semper,pisa,Serie-A,2025-2026,3.7,0.27,0.7,0.59,56,0.036000000000000004,0
ukasz skorupski,bologna,Serie-A,2025-2026,2.1,0.23,0.1,0.264,27,0.037000000000000005,0
yann sommer,inter,Serie-A,2025-2026,4.0,0.29,-2.0,0.145,31,0.032,3
zion suzuki,parma,Serie-A,2025-2026,4.1,0.27,-0.9,0.473,33,0.03,4
mile svilar,roma,Serie-A,2025-2026,2.9,0.32,1.9,0.23399999999999999,29,0.034,2
pietro terracciano,milan,Serie-A,2025-2026,0.0,,0.0,0.33299999999999996,8,0.0,0
stefano turati,sassuolo,Serie-A,2025-2026,1.2,0.31,-0.8,0.565,9,0.111,1
noah atubolu,freiburg,Bundesliga,2025-2026,5.7,0.44,-2.3,0.436,35,0.057,4
mio backhaus,werder bremen,Bundesliga,2025-2026,4.8,0.37,-2.2,0.152,59,0.102,4
oliver baumann,hoffenheim,Bundesliga,2025-2026,5.6,0.44,-0.4,0.45299999999999996,54,0.055999999999999994,15
finn dahmen,augsburg,Bundesliga,2025-2026,8.6,0.32,2.6,0.376,38,0.105,8
mark flekken,leverkusen,Bundesliga,2025-2026,4.2,0.27,-1.8,0.28600000000000003,40,0.025,8
kamil grabara,wolfsburg,Bundesliga,2025-2026,4.8,0.3,-0.2,0.355,61,0.066,2
peter gulacsi,rb leipzig,Bundesliga,2025-2026,4.4,0.31,-1.6,0.245,37,0.027000000000000003,5
daniel heuer fernandes,hamburger sv,Bundesliga,2025-2026,4.4,0.18,-2.6,0.294,45,0.0,3
gregor kobel,dortmund,Bundesliga,2025-2026,2.8,0.21,-0.2,0.17600000000000002,43,0.023,3
manuel neuer,bayern munich,Bundesliga,2025-2026,1.9,0.31,-0.1,0.212,32,0.0,8
moritz nicolas,gladbach,Bundesliga,2025-2026,4.6,0.3,-0.4,0.17800000000000002,28,0.071,9
alexander nubel,stuttgart,Bundesliga,2025-2026,4.9,0.29,-0.1,0.25,63,0.095,3
diant ramaj,heidenheim,Bundesliga,2025-2026,8.5,0.46,1.5,0.34600000000000003,51,0.11800000000000001,5
frederik rnnow,union berlin,Bundesliga,2025-2026,9.1,0.37,1.1,0.513,51,0.11800000000000001,1
marvin schwabe,koln,Bundesliga,2025-2026,3.1,0.31,-0.9,0.43200000000000005,66,0.0,1
nikola vasilj,st pauli,Bundesliga,2025-2026,4.0,0.22,0.0,0.287,21,0.14300000000000002,4
robin zentner,mainz,Bundesliga,2025-2026,1.8,0.22,-1.2,0.44299999999999995,27,0.14800000000000002,9
michael zetterer,eint frankfurt,Bundesliga,2025-2026,4.5,0.22,-0.5,0.23800000000000002,34,0.028999999999999998,5
lucas chevalier,paris sg,Ligue-1,2025-2026,3.0,0.24,0.0,0.071,26,0.077,4
gregoire coudert,brest,Ligue-1,2025-2026,5.0,0.43,0.0,0.47100000000000003,24,0.083,1
jeffrey de lange,marseille,Ligue-1,2025-2026,0.0,0.02,0.0,0.0,3,0.0,1
theo de percin,auxerre,Ligue-1,2025-2026,3.0,0.28,-1.0,0.562,41,0.073,5
remy descamps,lyon,Ligue-1,2025-2026,4.8,0.40,+2.8,0.196,59,0.034,3
mory diaw,le havre,Ligue-1,2025-2026,6.0,0.28,0.0,0.315,61,0.14800000000000002,4
yehvann diouf,nice,Ligue-1,2025-2026,6.2,0.29,+1.2,0.21100000000000002,57,0.08800000000000001,5
jonathan fischer,metz,Ligue-1,2025-2026,9.4,0.34,+1.4,0.14400000000000002,57,0.035,6
lukas hradecky,monaco,Ligue-1,2025-2026,3.1,0.28,-0.9,0.304,42,0.048,4
karljohan johnsson,strasbourg,Ligue-1,2025-2026,0.3,0.14,+0.3,0.281,13,0.077,3
bingourou kamara,lorient,Ligue-1,2025-2026,5.1,0.34,-2.9,0.292,26,0.077,5
herve koffi,angers,Ligue-1,2025-2026,7.4,0.28,+4.4,0.40399999999999997,75,0.133,1
philipp kohn,monaco,Ligue-1,2025-2026,0.8,0.27,+0.8,0.273,13,0.077,0
donovan leon,auxerre,Ligue-1,2025-2026,1.5,0.37,+0.5,0.5660000000000001,15,0.067,1
anthony lopes,nantes,Ligue-1,2025-2026,3.0,0.15,0.0,0.335,72,0.055999999999999994,8
radosaw majecki,brest,Ligue-1,2025-2026,4.4,0.38,-0.6,0.414,29,0.10300000000000001,1
yvon mvogo,lorient,Ligue-1,2025-2026,2.6,0.23,-1.4,0.485,15,0.067,0
obed nkambadio,paris fc,Ligue-1,2025-2026,5.1,0.23,-1.9,0.25,38,0.0,5
berke ozer,lille,Ligue-1,2025-2026,6.3,0.44,+1.3,0.26899999999999996,45,0.044000000000000004,4
mike penders,strasbourg,Ligue-1,2025-2026,2.5,0.49,-0.5,0.136,38,0.079,2
guillaume restes,toulouse,Ligue-1,2025-2026,6.7,0.25,-1.3,0.48200000000000004,61,0.049,2
robin risser,lens,Ligue-1,2025-2026,4.5,0.26,-0.5,0.209,47,0.021,2
geronimo rulli,marseille,Ligue-1,2025-2026,4.3,0.31,+0.3,0.309,38,0.158,13
brice samba,rennes,Ligue-1,2025-2026,7.3,0.35,+1.3,0.272,71,0.085,1
kevin trapp,paris fc,Ligue-1,2025-2026,1.5,0.75,-0.5,0.28600000000000003,13,0.077,3
